Year,State,Clear,Cloudy,Fair,Mostly Cloudy,Partly Cloudy
2019,AL,1612,1828,7546,2423,1601
2019,AR,59,111,313,124,60
2019,AZ,2476,1063,10084,3604,3629
2019,CA,12329,24109,98897,19703,22087
2019,CO,933,1529,4040,3873,3209
2019,CT,594,708,1978,611,345
2019,DC,57,222,381,294,178
2019,DE,175,226,722,118,78
2019,FL,4863,3691,20891,10866,8777
2019,GA,2176,2317,8355,3451,1978
2019,IA,203,392,868,258,209
2019,ID,52,65,182,55,54
2019,IL,989,3505,5407,2797,1561
2019,IN,425,1069,2615,897,711
2019,KS,83,215,777,97,80
2019,KY,333,994,2253,880,575
2019,LA,1644,1472,7611,2512,1574
2019,MA,677,1364,2697,1130,794
2019,MD,967,1364,3044,1390,1020
2019,ME,39,81,193,81,71
2019,MI,1242,3800,5207,2272,1343
2019,MN,1939,5544,8218,2798,1875
2019,MO,631,1187,2873,979,579
2019,MS,185,196,697,187,104
2019,MT,19,19,25,15,11
2019,NC,2447,4676,12565,9981,6607
2019,ND,4,0,3,0,2
2019,NE,547,626,1285,502,453
2019,NH,151,297,497,273,154
2019,NJ,1200,1837,3868,1789,961
2019,NM,96,93,453,339,307
2019,NV,120,220,1081,542,426
2019,NY,2219,5894,10415,8270,4362
2019,OH,740,2054,3864,1464,1035
2019,OK,1752,2125,7489,2352,1673
2019,OR,2610,7000,10132,4818,3703
2019,PA,1894,3115,6379,1995,1215
2019,RI,148,405,741,565,279
2019,SC,5707,5510,25641,5670,5647
2019,SD,5,4,6,0,3
2019,TN,633,2684,5026,4779,2725
2019,TX,4590,9110,24316,13488,10520
2019,UT,1425,2409,5319,4137,3771
2019,VA,2580,2916,7939,3754,2395
2019,VT,14,31,60,22,13
2019,WA,1120,3580,2744,2115,1342
2019,WI,520,1137,1433,914,554
2019,WV,28,43,138,67,39
2019,WY,13,14,15,6,11
2020,AL,0,3887,9042,2251,1457
2020,AR,0,565,1379,275,183
2020,AZ,0,1212,21910,2350,1755
2020,CA,0,31036,161298,24636,19576
2020,CO,0,1180,5102,2686,2205
2020,CT,0,1835,4330,800,520
2020,DC,0,560,914,477,234
2020,DE,0,519,1199,190,94
2020,FL,0,14976,53629,24206,16939
2020,GA,0,4492,9309,3308,1714
2020,IA,0,914,1369,230,165
2020,ID,0,485,997,168,72
2020,IL,0,5397,9210,3595,2009
2020,IN,0,2014,2757,827,666
2020,KS,0,533,1379,112,87
2020,KY,0,1290,1749,789,373
2020,LA,0,4880,12342,3166,1584
2020,MA,0,2063,4395,1440,809
2020,MD,0,4865,7642,2273,1583
2020,ME,0,65,101,26,19
2020,MI,0,4312,5369,1821,876
2020,MN,0,8692,15494,2788,2374
2020,MO,0,2129,4503,1017,525
2020,MS,0,377,908,257,120
2020,MT,0,663,738,206,78
2020,NC,0,8716,16501,9729,5034
2020,ND,0,77,135,24,16
2020,NE,0,593,1106,173,200
2020,NH,0,313,557,201,98
2020,NJ,0,3747,6860,2245,1212
2020,NM,0,91,767,239,156
2020,NV,0,165,1344,358,234
2020,NY,0,9642,15288,8501,4206
2020,OH,0,4122,5207,2331,1469
2020,OK,0,1794,6874,1450,983
2020,OR,0,8297,10940,4140,1929
2020,PA,0,9505,17069,4216,2661
2020,RI,0,383,792,435,221
2020,SC,0,11012,29684,6242,5170
2020,SD,0,12,96,11,19
2020,TN,0,5521,8221,7167,2857
2020,TX,0,14016,30835,10026,7166
2020,UT,0,1772,5674,3101,1811
2020,VA,0,8394,16269,5442,3200
2020,VT,0,50,43,22,12
2020,WA,0,3695,3640,1924,759
2020,WI,0,879,1352,472,355
2020,WV,0,266,450,108,59
2020,WY,0,5,13,1,1
2021,AL,0,4209,9614,3204,1690
2021,AR,0,1314,3028,716,439
2021,AZ,0,1478,20783,3187,1958
2021,CA,0,35847,184999,22770,15001
2021,CO,0,760,5093,1453,1416
2021,CT,0,2750,6723,1626,1032
2021,DC,0,776,1595,922,513
2021,DE,0,474,2039,299,183
